상품번호,그룹명,앨범명,멤버,재고,썸네일,옵션이미지,가격,포카마켓 이미지,충족 여부,원본 앨범명,표시,보유 재고,보유 재고 가격,보유재고 썸네일,보유재고 추가이미지,쇼피 스캔 등록여부,ebay 스캔 등록여부,shopify 스캔 등록여부,썸네일 완성여부,이미지 재생성 필요,ebay item id,ebay 보유재고 item id,ebay 스캔 item id,누적 판매 수,shopify_product_id,shopify 등록완료,이미지_승인상태,앞면,뒷면,joom 등록완료,joom product id
18180,BTS,D-icon vol.10 BTS goes on!,J-Hope,1,,,,https://ndc.infludeo.com/media/photocard_blur/2025/03/11/c242f37e8bbc4d989ea223b052affbd2.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
378630,BTS,Echo ALADIN,Jin,14,,,,https://ndc.infludeo.com/media/photocard_blur/2025/07/07/8f078660dbe24116a9d62c82b4a2964d.jpg,TRUE,Echo ALADIN,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18164,BTS,D-icon vol.10 BTS goes on!,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/9780991c231145829f86c6198388193f.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
15175,BTS,MAP OF THE SOUL : 7 ~THE JOURNEY~ WEVERSE,RM,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/24/fe62d719c0394699a32c5f1e921e2452.jpg,TRUE,MAP OF THE SOUL : 7 ~THE JOURNEY~ WEVERSE,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
232336,BTS,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,SUGA,4,,,,https://ndc.infludeo.com/media/photocard_blur/2024/03/13/279b758a622d41dba4fe47892d5b0c35.jpg,TRUE,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
290724,BTS,DICON D’FESTA MINI EDITION : BTS,RM,0,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/3bfea6be8fa5437ca0d2d0097b42444e.jpg,TRUE,DICON D’FESTA MINI EDITION : BTS,,,,,,FALSE,FALSE,FALSE,미완성,FALSE,,,,,,FALSE,pending,,,FALSE,
35167,BTS,Now3,Unit,1,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/24ffef85467a4b958f7be9addce98e7c.jpg,TRUE,Now3,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18145,BTS,D-icon vol.10 BTS goes on!,V,5,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/d59b9e17aa78426ebd0c19f034133546.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18172,BTS,D-icon vol.10 BTS goes on!,Jimin,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/b367df1d4bc14b58b4b94c28e27a8725.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18163,BTS,D-icon vol.10 BTS goes on!,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/8da4b4ffb51d400dad57d52618234443.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18157,BTS,D-icon vol.10 BTS goes on!,Jin,5,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/0c7933eb996044488bb3b84684c80f75.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
323575,BTS,GOLDEN : The Moments PERFUME,JUNGKOOK,2,,,,https://ndc.infludeo.com/media/photocard_blur/2025/01/08/5370a2ecdb6c4c629fd427fecea92f65.jpg,TRUE,GOLDEN : The Moments PERFUME,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18171,BTS,D-icon vol.10 BTS goes on!,Jimin,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/78d6ee866b4c45ea8aa55c092cd49a22.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18154,BTS,D-icon vol.10 BTS goes on!,Jin,6,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/3e879005b2214a43b18f480604d95830.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18175,BTS,D-icon vol.10 BTS goes on!,Jimin,2,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/b4a4078ef32340aeaf75a9faed351e23.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
139277,BTS,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,SUGA,2,,,,https://ndc.infludeo.com/media/photocard_blur/2023/08/08/c25ded75ef6348cebb261ef5479d7bba.jpg,TRUE,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18140,BTS,D-icon vol.10 BTS goes on!,JUNGKOOK,5,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/a429ccce23094588b9e426666cab5d6c.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
31452,BTS,Now3,Unit,3,,,,https://ndc.infludeo.com/media/photocard_blur/2022/09/29/c19fbc6c0ea6430a88b95c940d8a53f5.jpg,TRUE,Now3,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
311574,BTS,GOLDEN LP,JUNGKOOK,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/11/28/ad0dce57d766477ab5aa6a5181259846.jpg,TRUE,GOLDEN LP,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
232337,BTS,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,SUGA,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/03/13/d53798edfae34a0bbf5f983089f558eb.jpg,TRUE,SUGA | Agust D TOUR 'D-DAY' THE FINAL LUCKY DRAW,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
328876,BTS,Happy ALADIN,Jin,32,,,,https://ndc.infludeo.com/media/photocard_blur/2025/02/05/068614c9a5b24db8acda473297b4a4f7.jpg,TRUE,Happy ALADIN,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
24583,BTS,Now3,Unit,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/27/4e17f297b3864bf4a896995f2761a2be.jpg,TRUE,Now3,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
18162,BTS,D-icon vol.10 BTS goes on!,RM,1,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/9d92b1d89bd44b6c879342f72b71084d.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
37773,BTS,D-icon vol.10 BTS goes on!,Unit,3,,,,https://ndc.infludeo.com/media/photocard_blur/2024/09/25/de341f0d0c234a119a54dee47ded66b8.jpg,TRUE,D-icon vol.10 BTS goes on!,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
361753,BTS,DICON ISSUE N°16 V : VICON A-type DICON MALL,V,1,,,,https://ndc.infludeo.com/media/photocard_blur/2025/05/15/f436f6cd849b423ba86ffe512c0ad32d.jpg,TRUE,DICON ISSUE N°16 V : VICON A-type DICON MALL,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,pending,,,FALSE,
